# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:24:26 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911352597 (Default)
# output
#   file = examples\timeseries\timeseriesvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,alpha,beta,lambda
# Stepsize adaptation complete.
# eta = 1
0,-26.7539,-0.983266,-1.56968,0.752875,0.463298
0,-28.5757,-1.23293,-1.44301,0.642165,0.46485
0,-31.6303,-3.54342,-1.75209,0.507369,0.487676
0,-26.7666,-0.908091,-1.60472,0.647559,0.443317
0,-28.2504,-1.77883,-1.41413,0.670308,0.47694
0,-26.6824,-0.176156,-1.55771,0.608456,0.487883
0,-27.2645,-0.352941,-1.58301,0.563098,0.477671
0,-26.7843,-0.230599,-1.60763,0.594961,0.469915
0,-27.1162,-1.22444,-1.57534,0.706253,0.510163
0,-26.4336,-0.638942,-1.60115,0.69076,0.45341
0,-26.8429,-0.150208,-1.5895,0.59338,0.479041
0,-28.6803,-1.41929,-1.61024,0.495003,0.467637
0,-28.7409,-1.22427,-1.55956,0.504664,0.463193
0,-29.3022,-2.46448,-1.53176,0.730455,0.427923
0,-31.7518,-2.54979,-1.47819,0.524204,0.437306
0,-26.3577,-0.489538,-1.63408,0.644778,0.459638
0,-28.4754,-1.49538,-1.62794,0.502224,0.462785
0,-26.5684,-0.472075,-1.64916,0.640369,0.469139
0,-26.6234,-1.0444,-1.63379,0.624098,0.444651
0,-27.1081,-1.35437,-1.56802,0.708521,0.512181
0,-27.249,-1.57602,-1.69131,0.57399,0.456514
0,-29.6519,-1.4773,-1.4473,0.6181,0.453295
0,-27.4043,-0.77541,-1.57745,0.597039,0.446313
0,-26.3424,-0.351077,-1.52286,0.686665,0.481786
0,-26.9209,-0.178996,-1.58238,0.586883,0.480043
0,-26.9338,-2.23397,-1.72068,0.606345,0.449015
0,-26.7467,-0.986976,-1.52563,0.624394,0.508609
0,-29.682,-5.83242,-1.4485,0.900959,0.495069
0,-26.9302,-1.99569,-1.51695,0.786463,0.497157
0,-26.5992,-0.515274,-1.61268,0.708298,0.484799
0,-30.8415,-2.43433,-1.70342,0.659951,0.51409
0,-27.1333,-2.14638,-1.72257,0.600253,0.453025
0,-28.2241,-0.915926,-1.55173,0.517991,0.47847
0,-27.5963,-1.49331,-1.4892,0.553286,0.503367
0,-26.5019,-1.34997,-1.46777,0.641558,0.503744
0,-31.4392,-2.52157,-1.49157,0.557634,0.429343
0,-26.456,-0.0483862,-1.54995,0.631997,0.480261
0,-26.7126,-0.214341,-1.5779,0.619109,0.46
0,-27.2541,-2.60031,-1.44349,0.579365,0.516224
0,-27.388,-0.778547,-1.49513,0.69903,0.462931
0,-27.0128,-1.313,-1.61786,0.770484,0.479454
0,-26.4252,-0.104251,-1.54915,0.634799,0.485278
0,-26.4832,-1.76416,-1.50103,0.683138,0.516533
