# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf10_model
# start_datetime = 2023-07-05 12:39:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf10.data.r
# init = 2 (Default)
# random
#   seed = 758770126 (Default)
# output
#   file = examples\cf\cf10_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mean
# Adaptation terminated
# Step size = 0.00115335
# Diagonal elements of inverse mass matrix:
# 26.9334, 21.0976, 23.3178, 19.5507, 27.7658, 16.8963, 26.1204, 25.9459, 28.472, 22.7872, 31.3942, 33.4077, 28.4282, 24.8712, 31.0135, 31.6516, 35.3865, 36.2015, 26.031, 27.042, 27.6938
-14829.3,0.997256,0.00115335,10,1023,0,14842.5,8.30372,4.68131,-4.50108,0.118425,10.4465,4.51607,-3.63028,-11.2709,-13.0486,-1.43738,1.47673,-3.40958,5.11253,-7.70555,-0.594573,2.53361,7.79242,0.0249486,7.27624,7.49678,1.07657,150.036
-14821.8,0.995851,0.00115335,10,1023,0,14837,0.948144,0.967577,-5.26715,-2.51684,7.48022,10.0087,-2.28174,-6.82838,-10.2036,-5.76399,-0.0732608,-3.76694,2.15121,-4.40585,-1.04302,2.59229,-3.59629,-3.45075,-4.4172,2.85015,-1.64423,149.981
-14830.2,0.98969,0.00115335,10,1023,0,14843.6,-2.83852,-4.20014,0.467883,-3.43698,10.6935,10.0392,1.88128,0.128877,-20.7536,-4.73257,-4.73394,2.31089,1.88141,-2.36739,-0.548018,9.47101,2.9392,-0.492875,-6.75036,5.31077,2.2715,149.578
-14824.1,0.954297,0.00115335,10,1023,0,14839.4,-2.7047,-1.39601,0.561876,-0.893294,6.93305,10.2778,1.69753,-0.894667,-17.6761,-0.835546,-4.00358,-0.705005,3.22892,3.95392,6.41193,7.06453,0.608083,3.2159,-1.30214,4.31999,1.96919,149.789
-14828,0.869757,0.00115335,10,1023,0,14838.7,2.43254,-0.29857,0.956664,-0.149999,8.43056,10.6281,3.26959,3.77747,-17.2446,-2.0265,0.241313,-3.03855,8.13247,4.43721,1.14324,7.97708,0.313994,4.51854,-5.45886,6.40006,3.25346,149.502
-14826,0.950585,0.00115335,10,1023,0,14838.7,4.12012,-0.441684,-0.221757,-6.38732,12.9059,10.9768,1.45383,5.44705,-12.5179,3.06897,-1.34583,-7.77404,3.57637,2.08551,0.681091,2.29392,-4.06859,-2.09935,-5.44272,1.31853,7.62008,149.695
-14829.1,0.92347,0.00115335,10,1023,0,14841.3,1.97906,0.0447298,-3.79683,-5.33606,13.7096,6.72056,-5.24062,3.0997,-15.3709,-0.465224,-1.17653,-8.67221,5.04886,3.85479,10.9923,-2.48189,3.88897,2.75171,-2.77094,-6.68497,4.47892,149.682
-14827.1,0.907795,0.00115335,10,1023,0,14838.9,-5.93988,5.62615,-4.70726,-5.99156,13.1191,6.162,-3.39826,0.611841,-12.521,-2.85468,-2.83654,-9.54988,3.40806,6.45371,5.83444,-5.12949,-2.21901,2.38404,0.954598,-5.82244,5.13528,149.82
-14827,0.789715,0.00115335,10,1023,0,14835.2,-5.83438,7.69726,-2.55669,-4.04195,12.1905,5.84373,-1.54074,-1.67649,-12.7799,-3.4751,-4.23496,-8.11011,-0.302508,7.62081,7.34387,-0.678231,-0.981058,3.21348,-0.45829,-1.70543,6.82293,149.515
-14827,0.759893,0.00115335,10,1023,0,14835.9,-5.75948,9.22973,-3.14451,-5.09631,9.14631,4.20093,-1.56826,-2.96718,-12.1358,-3.42216,-5.11631,-10.8951,-0.0988775,6.90372,9.28194,-1.99036,-1.40539,3.03154,-2.45675,-3.37506,5.77188,149.605
-14827.1,0.487665,0.00115335,10,1023,0,14839.1,-6.42376,8.99961,-2.17235,-6.64935,10.432,4.89572,-1.80973,-3.88062,-12.7491,-3.46775,-5.47791,-9.35552,-0.0998104,5.42889,8.72292,-2.15572,-1.14586,4.38029,-2.04355,-3.69826,5.03287,149.661
-14821,0.917414,0.00115335,10,1023,0,14833.4,0.0125753,3.5522,-2.25717,-2.59517,4.19524,5.6065,-8.17111,-6.87638,-9.29519,0.135052,-2.98349,-4.52526,6.28441,0.313001,3.74704,4.25894,1.92191,4.79503,-2.05842,-1.45878,8.11935,149.621
-14821.7,0.994966,0.00115335,10,1023,0,14828.6,5.03731,2.18949,-7.09893,-1.80728,3.95317,6.00237,-9.90213,-10.1157,-4.85845,3.13695,-3.16665,-0.674151,9.79862,1.48202,1.28095,-1.02819,-3.1242,-1.67408,2.86732,-2.0689,0.313128,149.599
-14821.9,0.995167,0.00115335,10,1023,0,14826.3,4.0474,2.69455,-8.67965,-2.02095,4.24019,6.36507,-9.44351,-10.0155,-3.64217,3.17749,-4.48499,-0.383886,11.139,1.04387,0.624213,-1.33407,-1.36619,-0.550527,1.82016,-2.05851,0.152286,149.841
-14818.4,0.980791,0.00115335,10,1023,0,14831.1,3.64129,-0.86132,-2.20816,-1.81574,2.05857,5.21799,-6.12883,-7.16291,-1.39878,0.135989,0.875289,-0.0474306,10.2033,7.34589,0.142538,0.70164,-0.0228408,1.85931,3.30513,5.97024,-0.138631,149.845
-14819.2,0.95781,0.00115335,10,1023,0,14825.6,3.43916,-1.35919,-3.92373,-4.94959,1.83534,5.62066,-7.12793,-5.97669,0.3604,0.917679,3.0386,0.113246,10.7348,7.29809,0.700894,1.03918,1.0266,-0.552292,1.77522,2.72194,-2.08555,149.934
-14821,0.997861,0.00115335,10,1023,0,14828.3,5.86854,0.314283,-5.6978,-3.20444,3.19927,0.318885,-6.60654,-8.32648,3.49843,0.848416,2.92788,-4.22369,10.8844,8.01035,-3.93369,-2.09193,4.67144,-0.281244,0.240421,-0.479638,1.56527,149.921
