# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = trueskills_model
# start_datetime = 2023-01-12 09:11:41 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2892587329 (Default)
# output
#   file = examples\trueskills\trueskillsvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,skillA,skillB,skillC,perfA,perfB,perfC
# Stepsize adaptation complete.
# eta = 1
0,-42.8189,-0.680113,59.1502,65.5909,62.7821,43.8604,41.9868,40.796
0,-46.0178,-1.4482,61.8104,66.1974,54.256,40.169,38.5371,37.8395
0,-35.9651,-2.39653,70.1862,78.2814,72.4643,44.7384,32.2586,42.545
0,-41.2573,-2.45512,58.6491,73.202,69.7197,43.0569,41.9439,41.6032
0,-45.8493,-3.29261,57.2882,55.7696,58.7282,53.1023,47.907,23.6207
0,-43.8536,-1.80202,60.6948,51.2965,74.2001,46.8141,43.9588,43.5018
0,-41.7738,-12.781,56.0692,80.37,60.4782,80.77,78.7122,80.0647
0,-31.3186,-3.7413,70.7212,76.0701,81.0652,53.6289,50.3258,42.399
0,-44.1838,-3.70269,48.9964,59.4723,74.6087,55.6396,53.8121,50.1835
0,-33.1374,-1.97506,77.3072,70.5745,69.6403,52.0862,46.6578,49.9063
0,-44.2666,-1.94999,63.4225,72.3411,56.7524,37.3712,36.22,29.5941
0,-36.8419,-2.95817,57.4296,72.7419,72.5077,55.5861,54.1999,46.5784
0,-34.4131,-2.24936,80.6779,65.622,63.3796,52.4579,44.9489,43.3791
0,-48.0371,-2.0572,67.1897,57.2568,54.6536,33.6269,21.0255,26.9162
0,-46.4226,-1.62882,69.2477,60.1905,64.2123,29.7981,25.9194,27.2813
0,-33.5556,-3.25037,70.0465,85.4651,64.6667,52.2566,48.4413,42.6967
0,-51.2048,-6.77629,57.6733,84.117,77.422,27.5007,5.61951,25.3546
0,-44.8128,-3.66256,73.4886,74.6497,46.7126,39.5402,37.7525,28.5978
0,-43.7111,-1.57201,60.5597,75.2131,59.7441,36.1675,29.459,27.8421
0,-48.3828,-2.78277,61.6983,63.5445,71.8935,25.1017,19.501,20.9122
0,-53.7744,-6.52318,76.9891,72.011,52.1481,27.5197,0.957046,4.92815
0,-40.2842,-2.74566,52.2679,67.9486,74.5595,51.108,47.0398,37.9303
0,-50.7258,-2.29449,53.4511,54.8778,54.0977,47.193,45.075,44.0566
0,-39.2703,-1.05137,70.3385,57.867,66.1391,51.6435,49.5241,48.4605
0,-42.1549,-4.65761,76.5194,57.9268,79.5647,40.0942,11.5058,27.2445
0,-43.5759,-6.03223,63.5232,95.9629,63.8779,39.9867,26.1512,35.9506
0,-37.3003,-6.07205,84.3765,73.7928,63.3165,47.1811,35.2407,46.7602
0,-39.3795,-6.04467,65.6956,53.6734,81.8028,59.998,59.1088,44.9347
0,-39.8698,-0.85921,59.4229,71.2921,65.0102,47.445,44.8694,44.7665
0,-47.6905,-4.68176,53.0264,81.0603,49.3754,47.9396,43.904,46.6657
0,-42.5361,-2.22219,58.4102,64.7311,76.7442,38.7082,23.7395,32.4054
0,-48.457,-2.83381,52.2208,71.56,50.0493,45.8071,43.5564,42.589
0,-41.2547,-2.27372,71.2975,57.6913,72.506,42.4017,39.973,41.4519
0,-36.7333,-1.78449,65.9976,80.6357,71.2717,43.3339,39.8981,38.4913
0,-44.2959,-2.31777,66.9886,66.5831,62.0277,39.5479,37.6567,10.0818
0,-42.3823,-2.08801,68.2269,71.391,56.9367,41.3227,32.169,40.3206
0,-36.489,-3.6673,76.1038,63.2225,82.0285,45.5032,40.9868,44.3869
0,-48.0394,-3.48959,44.4386,67.4929,70.638,39.768,37.2644,31.2923
0,-41.3251,-1.63678,66.3021,61.2828,59.0386,54.4476,51.8532,52.9224
