median	q1	q3
-7.539232030871203	-7.986676512131708	-7.162981170363231
-7.539232030871203	-7.986676512131708	-7.162981170363231
-7.539232030871203	-7.986676512131708	-7.162981170363231
-7.539232030871203	-7.986676512131708	-7.162981170363231
-7.536249317104232	-7.986676512131708	-7.162981170363231
-7.536249317104232	-7.986676512131708	-7.162981170363231
-7.536249317104232	-7.966540189803952	-7.162981170363231
-7.536249317104232	-7.966540189803952	-7.162981170363231
-7.536249317104232	-7.953991930457758	-7.162981170363231
-7.536249317104232	-7.930967787012477	-7.162981170363231
-7.536249317104232	-7.930967787012477	-7.162981170363231
-7.536249317104232	-7.903293640677613	-7.162981170363231
-7.536249317104232	-7.903293640677613	-7.162981170363231
-7.496258849365338	-7.8923506048160235	-7.162981170363231
-7.496258849365338	-7.8923506048160235	-7.162981170363231
-7.496258849365338	-7.8923506048160235	-7.162981170363231
-7.496258849365338	-7.8923506048160235	-7.162981170363231
-7.496258849365338	-7.8923506048160235	-7.162981170363231
-7.496258849365338	-7.8923506048160235	-7.162981170363231
-7.496258849365338	-7.8923506048160235	-7.162981170363231
-7.496258849365338	-7.8923506048160235	-7.162981170363231
-7.496258849365338	-7.867233673356434	-7.162981170363231
-7.496258849365338	-7.867233673356434	-7.162981170363231
-7.496258849365338	-7.867233673356434	-7.162981170363231
-7.496258849365338	-7.867233673356434	-7.162981170363231
-7.496258849365338	-7.867233673356434	-7.162981170363231
-7.496258849365338	-7.696013645217768	-7.155760881265693
-7.496258849365338	-7.696013645217768	-7.155760881265693
-7.47192948594177	-7.696013645217768	-7.155760881265693
-7.47192948594177	-7.696013645217768	-7.155760881265693
-7.47192948594177	-7.696013645217768	-7.155760881265693
-7.47192948594177	-7.696013645217768	-7.144119443059058
-7.47192948594177	-7.696013645217768	-7.137373158437787
-7.47192948594177	-7.696013645217768	-7.137373158437787
-7.47192948594177	-7.696013645217768	-7.137373158437787
-7.47192948594177	-7.696013645217768	-7.137373158437787
-7.47192948594177	-7.696013645217768	-7.137373158437787
-7.47192948594177	-7.696013645217768	-7.113790221869268
-7.447678259012238	-7.696013645217768	-7.113790221869268
-7.447678259012238	-7.696013645217768	-7.113790221869268
-7.447678259012238	-7.696013645217768	-7.113790221869268
-7.447678259012238	-7.696013645217768	-7.113790221869268
-7.447678259012238	-7.696013645217768	-7.113790221869268
-7.447678259012238	-7.696013645217768	-7.113790221869268
-7.447678259012238	-7.696013645217768	-7.113790221869268
-7.447678259012238	-7.696013645217768	-7.089819827267679
-7.447678259012238	-7.696013645217768	-7.089819827267679
-7.443354127242538	-7.696013645217768	-7.089819827267679
-7.443354127242538	-7.696013645217768	-7.070863628335925
-7.443354127242538	-7.696013645217768	-7.070863628335925
-7.443354127242538	-7.696013645217768	-7.070863628335925
-7.443354127242538	-7.696013645217768	-7.041996847574909
-7.443354127242538	-7.696013645217768	-7.041996847574909
-7.443354127242538	-7.696013645217768	-7.041996847574909
-7.443354127242538	-7.696013645217768	-7.041996847574909
-7.434731689530452	-7.667227787989358	-7.013636363348811
-7.434731689530452	-7.667227787989358	-7.013636363348811
-7.434731689530452	-7.602989542477214	-6.996073980557542
-7.434731689530452	-7.602989542477214	-6.996073980557542
-7.411016777895169	-7.602989542477214	-6.996073980557542
